binning_data,update_time,create_time,count,speed,distance,calorie
d7665a13-9abb-4a46-94e9-72158a033f0d.binning_data.json,35:02.7,4/25/2022,1287,1.4193835,991.38,45.86
c86bebf9-892e-4576-8d36-5a487554a2c8.binning_data.json,02:41.5,4/24/2022,3205,1.3384075,2434.89,122.18
40d38592-e79b-4deb-ab59-ef6e45b923fc.binning_data.json,01:42.7,4/30/2022,2322,1.3900084,1789.78,86.65
388d0064-9e0f-4504-ba7d-512c0fc15ef7.binning_data.json,41:57.4,4/22/2022,547,1.3024534,410.23,19.96
e279c1ce-5eca-4689-bd3a-03198a1e6c9c.binning_data.json,15:01.0,4/23/2022,1012,1.4306344,811.25,42.24
60057f42-36ba-4293-bffb-fb16b60f9ef7.binning_data.json,39:55.5,4/23/2022,1012,1.4306344,811.25,42.24
c8b94e11-318e-4898-8304-748bc9c15b79.binning_data.json,24:51.5,4/26/2022,232,1.2321376,171.85,8.58
0dd3d674-ef1d-41a0-bb19-8378a3bb7e57.binning_data.json,15:02.4,5/3/2022,5647,1.2804054,4223.43,213.23
eeff5b63-6368-4858-9b68-a30e10c87b2c.binning_data.json,22:55.3,4/28/2022,1431,1.4303901,1111.71,52.65
91c9de2f-f1d2-447a-99fb-60cf1c77811a.binning_data.json,15:00.7,4/25/2022,1287,1.4193835,991.38,45.86
3b182152-8576-4a6f-88be-20320871c900.binning_data.json,22:53.4,4/26/2022,51,1.3821973,38.569996,1.8199998
89c291c1-a8d5-40b6-8696-ba5e1de0f72e.binning_data.json,55:01.7,4/25/2022,51,1.3821973,38.569996,1.8199998
df240ab3-e8b2-48eb-b147-ca2fc6389cd9.binning_data.json,01:27.7,4/29/2022,2322,1.3900084,1789.78,86.65
23d6d0bb-870e-4a2c-9784-042c6d9c23b6.binning_data.json,15:01.0,5/6/2022,4479,1.454091,3512.44,172.17
